ð ə; the
m ˈ aɪ l d l i; mildly
ə l ˈ ɑ t m ə n t; allotment
m ˈ ɑ ɹ s t ə n; marston
b ˈ u m ɝ ˌ æ ŋ; boomerang
oʊ m ˈ ɪ ʃ ə n; omission
k ˈ ɑ n t ˌ æ k t ɪ ŋ; contacting
k ɹ ˈ aʊ t͡ʃ; crouch
k ɹ ˈ ɑ k ɝ; crocker
g ˈ ɑ ɹ z ə; garza
ʃ ˈ eɪ v d; shaved
s ˈ ɪ ŋ k ɹ ə n ə s; synchronous
ɹ ˈ æ d f ɝ d; radford
ɹ ˈ ɑ m ˌ ɛ ʃ; ramesh
h ə s ˈ ɪ d ɪ k; hasidic
l ˌ ɛ f t h ˈ æ n d; left-hand lefthand
ʃ ˈ eɪ m ə n; shaman
s t ˈ æ l ɪ n g ɹ ˌ æ d; stalingrad
h ˈ aɪ ɪ m; chaim
s ˈ u n ˌ i; suny
l ˈ eɪ t ə n s i; latency
m ˈ oʊ d ə m; modem
m ˈ ɝ d ɝ ɝ z; murderer's murderers
ˌ æ p ə l ˈ eɪ ʃ ə n; appellation
p ˌ i d i ˈ æ t ɹ ɪ k s; pediatrics
s ˈ ɔ ɹ s ɝ ɝ; sorcerer
ˈ aʊ n s ə z; ounces
p ˈ ɛ ɹ i z; perry's
g ˈ ɑ l f ɝ z; golfer's golfers
k æ ʃ m ˈ i ɹ i; kashmiri
ˈ ɪ t͡ʃ; ich itch
s w ˈ aɪ n; swine
d ˈ aɪ ə z; daya's dias diez
l ˈ i ʒ ə n; lesion
s ɝ p ˈ æ s; surpass
ˈ ɑ ɹ t ʊ ɹ; artur
ə ʃ ˈ eɪ m d; ashamed
d ɪ d͡ʒ ˈ ɛ n ɝ ə t; degenerate
ˌ ɪ n s ˈ ɑ l v ə n s i; insolvency
ˌ ʌ n k ə n t ɹ ˈ oʊ l d; uncontrolled
b l ˈ ɪ θ; blyth
n ˈ ɑ m ə n ˌ eɪ t ɪ ŋ; nominating
f ɹ ˈ ʌ s t ɹ ˌ eɪ t ɪ ŋ; frustrating
ɹ ˈ u b ə l z; ruble's rubles
ˈ ʌ p h ˈ ɪ l; uphill
h ˈ aʊ s k ˌ i p ɝ; housekeeper
ˌ ɛ p ə d ˈ ɛ m ɪ k s; epidemics
n ˈ ɑ l ə d͡ʒ ə b ə l; knowledgeable
g ˈ æ ɹ ə s ə n d; garrisoned
m ˈ ɪ l n ɝ; millner milner
f l ˈ ɪ k; flick
ˈ eɪ p ɹ ə n; apron
d ˈ ɔ z; daus dawes daws
d ˌ ɪ s ˈ aɪ d ə d l i; decidedly
l ɝ ˈ ɛ n t s; lorenz
h ˈ eɪ l ɪ ŋ; hailing
ˌ ɪ g l ˈ eɪ s i ɪ s; iglesias
ɹ i f ˈ ɪ t ɪ d; refitted
ˈ aɪ t k ə n; aitken
d͡ʒ ˈ ɑ n ˌ i; gianni
s ˈ æ f ɹ ə n; saffran saffron safran
b ɹ ˈ aʊ n l ˌ oʊ; brownlow
ˈ ɪ n f ɪ l t ɹ ˌ eɪ t ɪ d; infiltrated
ɹ ˈ ʌ m p; rump
k ˈ ɔ ɹ b ɪ n; corbin
k ˈ æ l ə l; kalil kallal khalil
m ˌ ɪ s ə n d ɝ s t ˈ ʊ d; misunderstood
k ˈ eɪ t ɝ d; catered
ʃ ˈ ɪ ŋ g ə l; shingle
s ə l ˈ ɪ d ə f ˌ aɪ d; solidified
l ˈ ɑ ɹ g oʊ; largo
k l ˈ ʌ k s; clucks klux
b ˌ ɛ l v ə d ˈ ɪ ɹ; belvedere
s t ˈ æ l j ə n z; stallions
v ˈ æ n ɪ ʃ ɪ ŋ; vanishing
k ə n f j ˈ u z; confuse
ˈ ɛ ɹ s t ɹ ˌ aɪ k s; airstrikes
ˈ ɛ v ɹ i w ˌ ʌ n z; everyone's
d͡ʒ ˈ ɑ p l ɪ n; joplin
l ˈ aʊ d ɝ; louder
d ˌ ɪ s p ɹ ə p ˈ ɔ ɹ ʃ ə n ɪ t; disproportionate
ˌ ɪ l ˌ ɛ k t ɹ oʊ s t ˈ æ t ɪ k; electrostatic
ˌ æ n d ɹ ˈ ɛ t i; andretti
h ˈ aɪ d ɹ oʊ p ˌ aʊ ɹ; hydropower
s m ˈ aɪ l z; smiles
s ˈ ʌ b s t ˌ eɪ ʃ ə n; substation
f ɹ ˈ æ ŋ k ə; franca
d ˌ i k ə m p ɹ ˈ ɛ ʃ ə n; decompression
ɪ m p ˈ aʊ ɝ ɪ ŋ; empowering
f ˈ ɪ f t i z; fifties fifty's
k ˈ ɑ l ə n ˌ aɪ z d; colonized
ɹ ˈ oʊ t ˌ eɪ t s; rotates
h ˈ ɑ ɹ l oʊ; harlow
t ˈ ɑ m p k ɪ n z; thompkins tompkins
t ˈ ɛ s t ə m ˌ oʊ n i z; testimonies
t ˈ æ k; ptak tack tacke tak
p j ˈ ʊ ɹ ə f ˌ aɪ d; purified
f n ˈ ɑ m; phnom
d ɹ ˈ i m w ˌ ɝ k s; dreamworks dreamworks'
aɪ t ˈ ɪ n ɝ ə n t; itinerant
w ˈ aɪ l d f ˌ aɪ ɝ; wildfire
l ˈ ɛ p ɹ ə s i; leprosy
ˈ ɑ ɹ θ ɹ ə p ˌ ɑ d z; arthropods
ɹ ɪ d ˈ ʌ n d ə n s i; redundancy
d ˈ ɛ v l ɪ n; devlin
ˈ ɑ t ə; ata
ˌ ɪ n d ˈ ʌ k t ˈ i; inductee
h j ˈ u b ɝ; huber hubor
k ə p ˈ æ s ə t ɝ z; capacitors
k ˈ æ m p ɝ z; campers
n ˈ ɛ g ə t ɪ v z; negatives
ˌ ɪ m p ɹ ˈ ɑ m p t u; impromptu
ˌ ʌ n ɪ k s p l ˈ eɪ n d; unexplained
k ˌ ɑ n f ɹ ə n t ˈ eɪ ʃ ə n z; confrontations
s ˈ ɪ l v ɝ m ˌ æ n; silverman
l ˈ aɪ ɝ; leier liar
f ɝ m ˈ ɛ n t ə d; fermented
ə w ˈ eɪ k ə n d; awakened
p ɹ ə m ˈ i θ ˌ i ə s; prometheus
ˌ ʌ n s ə t ɪ s f ˈ æ k t ɝ i; unsatisfactory
ɪ ɹ ˈ æ d ə k ˌ eɪ t; eradicate
d i v i ˈ eɪ ʃ ə n z; deviations
p ˈ ɔ ɹ z; pores pours
p ə l ˈ eɪ s i oʊ; palacio
g ɹ ˈ aɪ n d; grind
g l ˌ eɪ ʃ i ˈ eɪ ʃ ə n; glaciation
ə n h ˈ ɑ ɹ m d; unharmed
f l æ m b ˈ ɔɪ ə n t; flamboyant
ɹ ˈ aɪ n f ˌ ɔ ɹ ə s t s; rainforests
s k ˈ u t ɝ; scooter
ɑ l ˈ ɛ g ɹ i; alegre
v ˈ ɔ s; vause voss
l ɪ k w ˈ ɪ d ə t i; liquidity
b ˈ u; beu boo
g ɹ oʊ t ˈ ɛ s k; grotesque
p ˈ ɝ ʃ ɪ ŋ; pershing
ˈ ɑ p t ɪ m ə s; optimus
ˌ ɪ n d ɪ s t ˈ ɪ ŋ g w ɪ ʃ ə b ə l; indistinguishable
m ˌ ɛ k s ɪ k ˈ æ n ə; mexicana
k ˌ ɛ ɹ i ˈ oʊ k i; karaoke
ɹ ˈ i m ə n; rieman riemann
d͡ʒ ˈ eɪ n ɪ z ə m; jainism
k ə l ˈ ɑ s ə l; colossal
g ɹ ˈ i t; greet grete
f ɹ ˈ aɪ z; fries fry's
m ˈ ɑ ɹ g oʊ; margo margot
h ˈ ʌ f; hough huff
ə w ˈ eɪ t ɪ d; awaited
k æ b ˈ oʊ; cabo
t ɹ ˈ æ d͡ʒ ə d i z; tragedies
s ˌ ɔ l t w ˈ ɑ t ɝ; saltwater
m ɛ n t ˈ æ l ə t i; mentality
f j ˈ u d z; feuds
ɹ ɪ n ˈ aʊ n s; renounce
l ˈ oʊ f; loaf
j ˌ u n ə f ˈ ɔ ɹ m ə t i; uniformity
k ə n s ˈ aɪ s; concise
ˌ ɪ n s t ɹ ˈ ʌ k t s; instructs
s ˈ æ ŋ k t ə m; sanctum
l ˈ ʌ t s; lutz
s ˌ ɪ n ˈ æ p t ɪ k; synaptic
d ə m ˈ ɪ n j ə n z; dominion's dominions
ə b ˈ aɪ d; abide
p ə t ˈ ɝ n ɪ t i; paternity
ˌ ɛ k s k ə m j ˈ u n ə k ˌ eɪ t ə d; excommunicated
ˈ æ m b j ə l ə n s ə z; ambulances
g ˈ ɪ m ɪ k; gimmick
ˈ ɝ d͡ʒ ə n s i; urgency
ˈ aɪ s i; icy
ɹ i v ˈ aɪ v ə l z; revivals
l ˈ ɛ n oʊ; leno
b l ˈ i d; bleed
s t ˈ æ g; stag stagg
s ˈ i ˌ ɛ s ˈ aɪ; csi
p ə t͡ʃ ˈ ɛ k oʊ; pacheco
b ˈ ɔ n ɝ; bonner
s t ˈ æ f s; staff's staffs
h ˈ ɛ l p l ə s; helpless
b ˈ ɝ g l ɝ i; burglary
ɪ n v ˈ aɪ ɹ ə n z; environs
b ˈ ɛ t s; bet's bets betts betz
s p ˈ ɑ ɹ; spahr spar spohr
p ɹ ˈ aʊ d l i; proudly
k ˈ aʊ n t ɝ f ˌ ɪ t; counterfeit
ˈ æ b ɪ ŋ d ə n; abingdon
æ m ɹ ˈ ɪ t s ɝ; amritsar
f ˈ ʌ k ɪ ŋ; fucking
f ˈ ʊ t p ɹ ˌ ɪ n t s; footprints
ˌ ɛ s j ˌ u v ˈ i; suv
f ɹ æ n s ˈ ɪ s k ə n z; franciscans
t ˈ eɪ b ɝ; taber tabor
ˈ ɛ l ə v ˌ eɪ t; elevate
k u w ˈ eɪ t i; kuwaiti
p ˈ ɪ k ə l ˌ oʊ; piccolo
k ə l ˈ ɪ p s ˌ oʊ; calypso
h ˈ ɪ n d u s t ˌ æ n; hindustan
b ˈ eɪ s ɪ ŋ; basing
ˌ æ b d ɪ k ˈ eɪ ʃ ə n; abdication
ˈ i z i ə s t; easiest
k l ˌ aɪ ə n t ˈ ɛ l; clientele
d ˌ i ˌ ɛ n ˈ ɛ s; dns
ˈ ɔ d ə b ɑ n; audubon
b ɹ ˈ ɑ θ ə l z; brothels
m ə k ˈ eɪ b; mccabe
m ˌ ʌ l t i p ˈ ɝ p ə s; multipurpose
s ˈ æ k ɹ ə f ˌ aɪ s ɪ ŋ; sacrificing
ˈ aɪ ɝ n z; irons
m ˈ ɪ ɹ ə n; mirren myhren
ˌ ɪ n ˈ ɪ ʃ i ə t s; initiates
ɹ ˈ ɪ ɹ d; reared
d ɹ ˈ æ g ɪ ŋ; dragging
f ɹ ˈ u t f ə l; fruitful
h ˈ ʌ t͡ʃ ɪ s ə n; hutcheson hutchison
ˌ ɪ n v ˈ oʊ k; invoke
d ɪ f ˈ ɛ k ʃ ə n; defection
h j ˈ u m ə n ˌ ɪ z ə m; humanism
m ˈ ɔ ɹ f i n; morphine
θ ˈ i s i z; theses
g ˈ aʊ ɝ; gauer gower
g ɹ ˈ aʊ n d w ˌ ɝ k; groundwork
s t ˈ æ t; stat
ˈ ɛ n oʊ; eno
ˈ eɪ v i eɪ t ɝ z; aviators
m ˈ ɛ ɹ ɪ k; merrick
k ˌ ɛ ɹ ə l ˈ ɪ n d͡ʒ i ə n; carolingian
p ˈ ɛ ɹ ɪ ʃ; parrish perish
b ˈ æ n f; banff
ɹ i ˈ æ d; riyadh
ˌ ɛ n ɪ g m ˈ æ t ɪ k; enigmatic
t ɹ ˈ æ k ɝ; tracker
w ˈ ɛ l k ə m z; welcomes
ə t ɹ ˈ ɪ b j ə t ə b ə l; attributable
ɪ k l ˈ ɪ p s ɪ z; eclipses
t ˈ ɪ ŋ k ɝ; tinker
g ˈ eɪ l ə n; galan galen
p ɹ ˌ i d i t ˈ ɝ m ɪ n d; predetermined
ɹ ˌ i ə p ˈ ɪ ɹ z; reappears
ə b j ˈ u z ɪ ŋ; abusing
k ˌ eɪ ˈ oʊ s i ə ŋ; kaohsiung
f ˈ aɪ ɝ f ˌ ɔ k s; firefox
s ˌ ɛ v ə s t ˈ ɔ p ə l; sevastopol
g ɹ ˈ aʊ n d ɪ ŋ; grounding
ˈ ʌ n d ɝ m ˌ aɪ n ɪ ŋ; undermining
t ˈ ɛ s; tess
m ˈ eɪ ɹ; mayr meir
t͡ʃ ˈ i t ə d; cheated
b ɹ ˈ aʊ n ʃ w aɪ g; braunschweig
s ˈ ɪ m b ə l ˌ aɪ z ɪ ŋ; symbolizing
w ˈ ɛ n z d ˌ eɪ z; wednesdays
d͡ʒ ə h ˈ oʊ v ə z; jehovah's
ˌ ɪ m p ɹ ˈ ɛ ʃ ə n ə s t; impressionist
s w ˈ ɑ m p i; swampy
s k ˈ ɪ n i; skinny
d ˈ ɛ s ə m ˌ eɪ t ɪ d; decimated
ʃ ˈ ʊ g ɝ z; sugar's sugars
t ˈ aɪ m ɝ; timer
h j ˈ u g ə n ˌ ɑ t; huguenot
t ˈ æ g l ˌ aɪ n; tagline
m ɑ n s ɝ ˈ ɑ t; montserrat
d ˌ ɛ t ə n ˈ eɪ ʃ ə n; detonation
ˌ æ n ə m ˈ ɑ s ə t i; animosity
h ə l ˌ u s ə n ˈ eɪ ʃ ə n z; hallucinations
g ˈ æ l oʊ z; gallo's gallos gallows
s ˈ ɪ t k ɑ m z; sitcoms
p ɹ ɪ m ˈ ɔ ɹ d i ə l; primordial
m ˌ ɪ l ə t ˈ ɛ ɹ ə l i; militarily
ˌ ɪ n t ˈ æ n d͡ʒ ə b ə l; intangible
b ˌ aɪ ˈ oʊ; bio
l ˈ ɛ k t͡ʃ ɝ ɝ z; lecturers
d ɪ s t ˈ ɪ l d; distilled
ˌ ɪ n t u ˈ ɪ ʃ ə n; intuition
s k ɹ ˈ i n ɹ ˌ aɪ t ɪ ŋ; screenwriting
t ˈ eɪ; tae tay
ə k ˈ ɑ m p l ə s; accomplice
t ˈ ʌ l i; tully
v ˈ i g oʊ; vigo
h ˈ aɪ s t; heist
g ˈ ɑ ɹ t ɝ; garter
ə f ˈ ɑ ɹ; afar
m ˈ i n ɪ ŋ l ə s; meaningless
s ˈ æ k ɹ ə m ə n t s; sacraments
p ˈ ɛ m b ɝ t ə n; pemberton
s ˌ u p ɝ ə m p ˈ oʊ z d; superimposed
s ə l ˈ ɑ m; salaam
æ n d͡ʒ ˈ ɛ l ɪ k ə; angelica
p l ə s ˈ i b oʊ; placebo
ə s ˈ ɝ ʃ ə n z; assertions
m ˈ u t; moot
l ˈ i g ə l ˌ aɪ z d; legalized
d ˈ ɪ s t ə n s t; distanced
p ɹ oʊ k j ˈ ʊ ɹ; procure
m oʊ d ˈ ɛ ɹ n; moderne
ˈ i; e e. ee
k ˈ ɪ s t; kissed kist
m ˈ ɪ n s t ɝ; minster
m ˌ ɪ s d ə m ˈ i n ɝ; misdemeanor
m ˌ aɪ t ə k ˈ ɑ n d ɹ i ə; mitochondria
ˌ ɛ k s t ɹ ˈ ɛ m ɪ z ə m; extremism
ʃ ˈ ɪ ɹ ɝ; scheerer scherer shearer sherer
ˌ ɪ n d ɪ s p ˈ ɛ n s ə b ə l; indispensable
oʊ k ˈ i f; o'keefe o'keeffe okeefe okeeffe
k ɹ i m ˈ eɪ ʃ ə n; cremation
m ˈ ɪ s t i; misty
d i v w ˈ ɑ ɹ; d'ivoire
ɪ k ˈ oʊ l; ecole
ˈ æ l ə k ˌ eɪ t; allocate
θ ˈ ɔ ɹ n z; thorn's thorns
s k ɹ ˈ u z; screws
ˌ ɑ n s k ɹ ˈ i n; onscreen
f ˈ ɔ ɹ s f ə l i; forcefully
s p ɹ ˈ ɔ l ɪ ŋ; sprawling
p ˈ ʊ d ɪ ŋ; pudding
s ˈ aɪ ɹ ə n z; sirens
ɹ aɪ n ˈ ɑ s ɝ ə s; rhinoceros
j ɑ m ˈ ɑ t oʊ; yamato
ɹ ˌ ɛ k w ə z ˈ ɪ ʃ ə n d; requisitioned
k ˈ ɛ ɹ ə k t ɝ ˌ aɪ z ə z; characterizes
m ˈ æ g n ə t s; magnet's magnets
ˈ ʌ n b ˈ ɔ ɹ n; unborn
g l ˈ i s ə n; gleason
ˈ ɛ s t͡ʃ u ˌ ɛ ɹ i z; estuaries
s l ˈ ʌ d͡ʒ; sludge
f ˈ ɛ ɹ ə; farah farrah fera ferra
d͡ʒ ˈ oʊ k ɪ ŋ l i; jokingly
ˈ æ z t ˌ ɛ k s; aztecs
ɹ ˈ aɪ n h ˌ ɑ ɹ d; reinhard
z j ˈ ɑ n; xian
k w ˈ ɝ k i; quirky
s ˈ ʌ l ɪ v ə n z; sullivan's sullivans
t͡ʃ ˈ eɪ m b ɝ d; chambered
ˈ aɪ ɝ; ayer eyer iyer
s t aɪ l ˈ ɪ s t ɪ k l i; stylistically
k w ˈ ɪ t ɪ ŋ; quitting
n ɔ s t ˈ æ l d͡ʒ ɪ k; nostalgic
b ˈ ɪ l j ɝ d z; billiards
s p ˈ ɑ t ɪ ŋ; spotting
ɹ ˈ ɑ b ɝ i z; robberies
v ˈ ɝ d i z; verdi's
ə p ɹ ˈ ɛ n t ə s ɪ z; apprentices
k l ˈ aʊ; clough
d ˈ ɛ ɹ d ˌ ɛ v ə l; daredevil
h j u m ˈ ɪ l i ˌ eɪ t ɪ ŋ; humiliating
d ɪ f l ˈ ɛ k ʃ ə n; deflection
k ˈ æ l k j ə l ˌ eɪ t ɝ; calculator
oʊ v ˈ ɝ t l i; overtly
ɹ ˌ ɛ s p ɝ ˈ eɪ ʃ ə n; respiration
ˈ ɔ ɹ m ə n d; ormand ormond ormonde
p ˈ ɪ k ˌ ʌ p s; pick-ups pickups
f ˈ eɪ m ɝ; famer
s ɪ m b ˈ ɑ l ɪ k ə l i; symbolically
ˈ eɪ g ɝ; agar
ˈ i b ə; eba iba
f ˈ ɝ g ə s; fergus
d ɪ t ˈ ʊ ɹ; detour
z ˈ u z; zoo's zoos zue's
p ˈ ʌ n t s; punts
n ɑ t s i oʊ n ˈ ɑ l i; nazionale
h ˈ ɝ t s; hirtz hurts
p ɹ ˈ ɑ s t; prost
t ˈ aɪ f ɔɪ d; typhoid
d ɪ f l ˈ ɛ k t ɪ d; deflected
k ˈ ɛ m ə s t s; chemists
h ˈ ɝ i; hurri hurry
d ˈ ɛ n m ˌ ɑ ɹ k s; denmark's
ɹ ˈ æ n t͡ʃ ɪ ŋ; ranching
m ə t ˈ ɪ ɹ i ə l ˌ aɪ z d; materialized
s t ˈ æ n ə p; stanhope
f ˈ ɔ s ɪ t; faucett fausett fawcett
p ɹ i k ˈ ɛ ɹ i ə s; precarious
ˌ ɪ ɹ ɪ v ˈ ɝ s ə b ə l; irreversible
m ˈ ʌ l ə n; mullan mullane mullen
b ˈ ɛ g d; begged
f ˌ oʊ t oʊ s ˈ ɪ n θ ə s ɪ s; photosynthesis
s ə b s k ɹ ˈ aɪ b d; subscribed
ə n l ˈ oʊ d ɪ d; unloaded
f ɪ l ə t ˈ ɛ l ə k; philatelic
m ə h ˈ ɛ ʃ; mahesh
f ˈ ɪ d ə l ɝ; fiddler
ɹ ˈ æ n t͡ʃ ɝ; rancher
ɹ ˈ oʊ s t ə d; roasted
d ɪ d͡ʒ ˌ ɛ n ɝ ˈ eɪ ʃ ə n; degeneration
ɹ ˈ eɪ n w ˌ ɔ t ɝ; rainwater
t ˈ oʊ l s t ˌ ɔɪ; tolstoy
n ˈ ɔ ɹ w ˌ ɔ k; norwalk
p ɹ ˈ i s ˌ ɪ ŋ k t s; precincts
ɹ ˈ ɔ s; ros
s k ˈ ɪ l f ə l; skillful
p j ˈ u b ɝ t i; puberty
w ˈ aɪ p; wipe
ˌ ɪ n f ɪ d ˈ ɛ l ɪ t i; infidelity
n ˈ i n oʊ; nienow nino
m ˈ ɪ l ɝ d; millard
p ˈ eɪ p ɝ w ˌ ɝ k; paperwork
w ˈ aɪ d ə n; widen
v ˈ ɔɪ s l ə s; voiceless
w ˈ ɛ s t l ə n d; westland westlund
m ˈ ɑ ɹ ɛ k; marek
p ˈ ɛ t ɝ; petr petre petter
s p ˈ ɪ n ˌ ɔ f; spinoff
k ˈ ɑ l ə g ə n; collagen
ˈ æ k w ə f ɝ; aquifer
t ˈ ɛ m p ə l t ə n; templeton
k ˈ ɑ m ɹ ˌ æ d; comrade
ˈ aʊ t b ˌ æ k; outback
t ˈ i z; t's t.'s t.s teas tease tees
p ɝ s w ˈ eɪ d ɪ ŋ; persuading
ɹ ˈ ɪ d ə k j ˌ u l d; ridiculed
z ˈ i l ə n d ɝ z; zealanders
s p ɹ ˈ eɪ g; sprague
ɹ ˈ ɛ d ɪ ŋ; redding
p ə z ˈ ɛ s ɪ v; possessive
f ə n ˈ ɑ m ə n ə l; phenomenal
v ˈ ʌ l t͡ʃ ɝ z; vultures
k ˈ ʌ l t ɪ v ˌ eɪ t ɪ ŋ; cultivating
b ˈ aɪ oʊ p ˌ ɪ k; biopic
d ɹ ɛ s ˈ ɑ ʒ; dressage
s ə f ˈ ɑ ɹ d ɪ k; sephardic
m ɑ ɹ t ˈ i n oʊ; martino
d ˈ ɔɪ t͡ʃ ɝ; deutscher
b ɹ ˈ ɔ d s ˌ aɪ d; broadside
t ˈ ɔ s t; tossed
m ɪ s f ˈ ɔ ɹ t͡ʃ ə n; misfortune
b ˈ ɪ s k ə t s; biscuits
m ˌ ɑ n t ə s ˈ ɛ l oʊ; monticello
θ ˈ ɛ ɹ ə p ɪ s t s; therapists therapists' therapists's
p l ˈ ʌ m ɝ; plumber plummer
ɹ i ʃ ˈ ʌ f ə l; reshuffle
ɑ ɹ t ˈ ɪ k j ə l ˌ eɪ t; articulate
s w ˈ ɑ z ɪ l ə n d; swaziland
k l ˈ oʊ v ɪ s; clovis
b ɹ ˈ u t ə s; brutus
k ˈ ʌ t ɪ ŋ z; cuttings
ˈ ɛ f ɪ d͡ʒ i; effigy
ɪ k s p ɹ ˈ ɛ ʃ ə n ə s t; expressionist
p ˈ aʊ t͡ʃ; pautsch pouch
s ˈ u ɝ z; sewers
m ə g ˈ aʊ ə n; macgowan mcgowan mcgowen
p ˌ æ θ ə d͡ʒ ˈ ɛ n ɪ k; pathogenic
ˈ ɪ n t ɝ s k ˌ oʊ p; interscope
w ˈ ɔ t ɝ m ə n; waterman watermen
k ə n v ˈ ɝ d͡ʒ ə n t; convergent
k ˌ ɑ n s t ɪ t ˌ u ʃ ə n ˈ æ l ɪ t i; constitutionality
p ˈ ɛ l ɪ k ə n z; pelican's pelicans
b ˌ ʊ ɹ ʒ w ˌ ɑ z ˈ i; bourgeoisie
m ˈ ɑ n ɝ ˌ eɪ l; monorail
k ˈ ɑ n ɝ z; cahners conner's conners connors
t͡ʃ ə t ˈ ɝ d͡ʒ i; chatterjee
p ˈ ɛ b ə l z; pebbles
j ˈ u n ə s ə n; unison
ɪ k s p ɹ ˈ ɛ ʃ ə n ˌ ɪ z ə m; expressionism
b ɹ ˈ æ k ɪ ʃ; brackish
g ˈ ʊ d j ɪ ɹ; goodyear
s ˈ aʊ; sao sow
s ˈ ɪ l v ɝ s t ˌ oʊ n; silverstone
d ˌ i m ɑ ɹ k ˈ eɪ ʃ ə n; demarcation
h ˈ ɑ ɹ t b ɹ ˌ eɪ k; heartbreak
ˈ ɔ l b ɹ ˌ aɪ t; albright allbright
d͡ʒ ə s t ˈ i n; justine
d ˈ ɪ ɹ b ˌ ɔ ɹ n; dearborn
d ˈ ɪ d i ɝ; didier
ˈ ɪ ŋ g l ɪ s; inglis
d u b ɹ ˈ ɑ v n ɪ k; dubrovnik
ˌ ɪ n d ɪ s t ˈ ɪ ŋ k t; indistinct
s ˈ ʌ m d ˌ eɪ; someday
ɹ ɪ f ɹ ˌ ɪ d͡ʒ ɝ ˈ eɪ ʃ ə n; refrigeration
b ˈ ɑ g z; bogs
d͡ʒ ˈ æ n s ə n; jansen janson janssen jansson
l ˈ ɔ ŋ h ˌ ɔ ɹ n; longhorn
b ˌ æ l ɝ ˈ i n ə; ballerina
s t ˈ i m ɪ ŋ; steaming
b ˈ æ l k ə n i z; balconies
ə m b ˈ ɛ ɹ t ˌ oʊ; umberto
w ˈ ɔ t ɝ t ˌ aʊ n; watertown
m ˈ ɛ t ə f ɔ ɹ z; metaphors
f ˈ ɔ ɹ s f ə l; forceful
ˈ ɪ n f ˌ i l d ɝ; infielder
ə k ˈ eɪ d i ə; acadia
t ɹ ˈ aɪ t ə n; triton
d ˈ ɛ k ɝ ˌ eɪ t ɪ ŋ; decorating
d aɪ ˈ ɝ n ə l; diurnal
n ˈ i d ə m; needham
b ˈ oʊ n ə; bona
s ˈ ɛ l f h ˈ ɛ l p; self-help
ʃ ɪ n ˈ ʊ k; chinook
l ˈ ʌ v ə l; lovell
ˈ ɪ n t ɝ l ˌ u d; interlude
l ˈ u d͡ʒ; luge
ɹ ˈ aɪ n l ˌ æ n d; rhineland
h ˈ ɛ d ˌ eɪ k s; headaches
d w ˈ ɪ n d ə l ɪ ŋ; dwindling
d ə b j ˈ u k; dubuque
ˈ ɝ v ɪ n; earvin irvin
ɛ k s t ɹ ˌ ɔ ɹ d ə n ˈ ɛ ɹ ə l i; extraordinarily
b ˈ oʊ d ə n; boden bowden
p ˈ ɛ t ɹ i; petrey petri petrie petry
ˌ ɪ ɹ ɪ t ˈ eɪ ʃ ə n; irritation
b ˈ ɑ d i g ˌ ɑ ɹ d z; bodyguards
j ˈ u t ɝ ə s; uterus
p ˌ ɑ l ɪ m ɝ ə z ˈ eɪ ʃ ə n; polymerization
k ˈ ʌ t ˌ ɔ f; cutoff
b ɹ ˈ aɪ d z; bride's brides
g ɹ ˈ æ d; grad
s l ˈ ɪ p ɪ ŋ; slipping
ˈ oʊ v ɝ t ˌ ɝ n; overturn
ˈ ɛ v ə n s t ə n; evanston
ɹ ˈ ɛ v ɝ ə n s; reverence
g ˈ oʊ l d z; gold's golds
t ˈ aɪ p ɹ ˌ aɪ t ɝ; typewriter
b l ˈ ɝ d; blurred
ˈ ɔ ɹ ə l i; oralie orally oreilly
p l ˈ eɪ s m ə n t s; placements
j w ˈ ɛ n; yuen
p ɹ ˌ ɪ n s ɪ p ˈ æ l ɪ t i z; principalities
k oʊ ˈ ɝ ʃ ə n; coercion
s ˈ i b ˌ ɛ d; seabed
f ˈ ɛ n; fehn fen fenn phen
h ˈ ʌ b ə l; hubbell hubble
s t ˈ i p ə l; steeple
f s; fs
d ɪ s ˌ ɪ n t ə g ɹ ˈ eɪ ʃ ə n; disintegration
d͡ʒ ˈ ɪ p s ə m; gypsum
k ˈ oʊ l ə; cola colla
ˈ ɪ n ə v ˌ eɪ t ɝ; innovator
f l ˈ æ k s; flax
d͡ʒ ˈ oʊ k t; joked
ə s ˈ ɔ ɹ t ɪ d; assorted
ɹ ˌ i ə p ˈ ɔɪ n t ɪ d; reappointed
ˌ aɪ ə t ˈ oʊ l ə; ayatollah
t ˈ u l ə p; tulip
ˌ ɪ n t ɹ ə v ˈ i n ə s; intravenous
ə n h ˈ ɛ l θ i; unhealthy
f i g ɛ ɹ ˈ oʊ ə; figueroa
s ˈ ɪ k ə m ˌ ɔ ɹ; sycamore
m ˈ ɪ t ɹ ə; mitra
k ə n k l ˈ u s ɪ v; conclusive
m ɪ s m ˈ æ n ɪ d͡ʒ m ə n t; mismanagement
ˈ ɔ s; oss
s t ˈ ɪ k ɝ z; stickers
k ˌ ɑ n t ɹ ə d ˈ ɪ k ʃ ə n z; contradictions
ɹ i ə l ˈ aɪ n d; realigned
s ˈ æ d i; sadie
h ˈ oʊ l i ˌ oʊ k; holyoak holyoke
d ɪ l ˈ ɪ ʃ ə s; delicious
θ ˈ ʌ n d ɝ b ˌ ɝ d z; thunderbirds
ə s ˈ ɑ h i; asahi
k ˈ ɔ ɹ t i ɝ; courtier
